experiment,scenario,method,hot,rate,repeat,sent,committed,admission_rejected,queue_timeout,client_error,completion_tps,latency_ms,latency_max_ms,mvcc_invalid,queue_wait_ms,fabric_ms,conflict_blocked,scd_selected,scd_edges,hot_key_rejected,ttl_expired
2,contention,traditional-lock,20,300,8,6000,293,3827,1880,0,231.43683702989392,1940.983,7308.0,0,2056.9658703071673,816.8156996587031,0,0,0,0,0
2,contention,traditional-lock,20,300,9,6000,222,4098,1680,0,222.26338210779772,1767.5721666666666,7578.0,0,2496.9954954954956,1112.3063063063064,0,0,0,0,0
2,contention,traditional-lock,20,300,10,6000,294,3735,1971,0,227.9895124824258,2094.4816666666666,8278.0,0,2281.3231292517007,826.7312925170068,0,0,0,0,0
2,contention,traditional-lock,50,300,1,6000,1239,3254,1507,0,230.3528237416977,1898.4108333333334,7278.0,0,2376.062146892655,458.2679580306699,0,0,0,0,0
2,contention,traditional-lock,50,300,2,6000,1278,3221,1501,0,221.2552548123018,1913.885,7912.0,0,2397.2738654147106,456.9608763693271,0,0,0,0,0
2,contention,traditional-lock,50,300,3,6000,1326,3219,1454,1,225.49609140108237,1878.184,6997.0,0,2466.5656108597286,428.52790346907994,0,0,0,0,0
2,contention,traditional-lock,50,300,4,6000,1399,3174,1427,0,206.7539627842867,1873.614,9768.0,0,2376.84345961401,423.6819156540386,0,0,0,0,0
2,contention,traditional-lock,50,300,5,6000,1288,3301,1411,0,229.0863273643618,1865.0955,6938.0,0,2448.0201863354037,436.50388198757764,0,0,0,0,0
2,contention,traditional-lock,50,300,6,6000,1307,3099,1594,0,205.57097337855893,2060.534,8193.0,0,2413.289977046672,477.061973986228,0,0,0,0,0
2,contention,traditional-lock,50,300,7,6000,1379,3220,1401,0,231.14261499345096,1859.7503333333334,6981.0,0,2480.54242204496,409.61421319796955,0,0,0,0,0
2,contention,traditional-lock,50,300,8,6000,1379,3197,1424,0,209.7242126603516,1881.1328333333333,9396.0,0,2425.8738216098623,423.5975344452502,0,0,0,0,0
2,contention,traditional-lock,50,300,9,6000,1278,3181,1541,0,224.2739132059956,1927.786,7372.0,0,2332.8928012519564,457.28090766823163,0,0,0,0,0
2,contention,traditional-lock,50,300,10,6000,1316,3173,1511,0,214.04873176126432,1930.2658333333334,7900.0,0,2355.497720364742,453.72340425531917,0,0,0,0,0
2,contention,traditional-lock,100,300,1,6000,1852,3181,967,0,221.26341409447946,1862.823,7291.0,0,2848.8855291576674,420.2100431965443,0,0,0,0,0
2,contention,traditional-lock,100,300,2,6000,1858,3197,945,0,226.84310018903594,1868.3016666666667,7784.0,0,2892.4725511302477,419.27610333692144,0,0,0,0,0
2,contention,traditional-lock,100,300,3,6000,1800,3261,939,0,240.10564648445316,1859.7485,6804.0,0,2973.29,429.3933333333333,0,0,0,0,0
2,contention,traditional-lock,100,300,4,6000,1845,3230,925,0,223.830485712154,1875.4243333333334,7688.0,0,2978.2065040650405,424.5192411924119,0,0,0,0,0
2,contention,traditional-lock,100,300,5,6000,1788,3319,893,0,228.07617744326606,1850.4256666666668,7473.0,0,3031.5274049217,434.903803131991,0,0,0,0,0
